number,commit_len,base_commit_sha,first_commit_sha,merge_commit_sha,created_at,merged_at,merged_by,1-n_url
37,1,9c53bcbef9e6afb056dde625c7c3f22beb882143,5c9646d16dbadd681a8316a05df5954b91b5c6cb,5c9646d16dbadd681a8316a05df5954b91b5c6cb,2019-03-13 16:28:58,2019-03-14 20:04:23,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/5c9646d16dbadd681a8316a05df5954b91b5c6cb...5c9646d16dbadd681a8316a05df5954b91b5c6cb.diff
38,3,bb8a441900ff11f4d0203fff36c9ea784257d27a,63cfbd083154981a25c5934cb9d54afe6de06087,b81aaa02a03e3fd1e7d7c91600664a5c0f4d2911,2019-03-13 21:32:11,2019-03-14 22:13:50,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/63cfbd083154981a25c5934cb9d54afe6de06087...b81aaa02a03e3fd1e7d7c91600664a5c0f4d2911.diff
43,2,8aa02d9ded8f23bef11e268f3cd5e6815c797184,52bfd0034bcd97d8672ae4752edb6cdcb4a5e93f,0e24d9a2b57fab227fb7f70c119ca7a2109785a5,2019-03-15 01:01:21,2019-03-28 19:53:01,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/52bfd0034bcd97d8672ae4752edb6cdcb4a5e93f...0e24d9a2b57fab227fb7f70c119ca7a2109785a5.diff
47,2,6cc38460b42fa35a4f7cc74b39a2d41cb9613304,afcf7b846b5723fb54118fab1e84b817958f83cf,e2b2f8123b2fb8e91c4e2a25da90f631d50f4a68,2019-03-27 00:38:53,2019-03-27 22:58:19,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/afcf7b846b5723fb54118fab1e84b817958f83cf...e2b2f8123b2fb8e91c4e2a25da90f631d50f4a68.diff
48,1,6cc38460b42fa35a4f7cc74b39a2d41cb9613304,44b9344a9a5389b7f5fa748737deb5be37b1ad19,44b9344a9a5389b7f5fa748737deb5be37b1ad19,2019-03-27 22:11:37,2019-03-27 22:54:24,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/44b9344a9a5389b7f5fa748737deb5be37b1ad19...44b9344a9a5389b7f5fa748737deb5be37b1ad19.diff
49,1,e3622b14bdb2c934775bfaede7facc3fdd4503ff,7cb3fd3d07656aa7d092b0e11d07951fb1e8f9d4,7cb3fd3d07656aa7d092b0e11d07951fb1e8f9d4,2019-03-28 23:19:36,2019-03-29 16:29:24,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/7cb3fd3d07656aa7d092b0e11d07951fb1e8f9d4...7cb3fd3d07656aa7d092b0e11d07951fb1e8f9d4.diff
50,2,e3622b14bdb2c934775bfaede7facc3fdd4503ff,360916694fe09684e6ccb00dcd9a1e17f9204e67,36ef354341618271e5ca19a6986d8298ef30456e,2019-03-29 00:28:08,2019-03-29 00:28:48,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/360916694fe09684e6ccb00dcd9a1e17f9204e67...36ef354341618271e5ca19a6986d8298ef30456e.diff
51,2,2b07cdb31c249ccdf87c37810b1f808ef71666e2,f327c5cda29b8f452e82868ee9838cec7d6ef617,5a00a61591c1bd27733959e1117b8d44c6b55eb2,2019-04-03 00:18:17,2019-04-10 16:24:16,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/f327c5cda29b8f452e82868ee9838cec7d6ef617...5a00a61591c1bd27733959e1117b8d44c6b55eb2.diff
54,3,2b07cdb31c249ccdf87c37810b1f808ef71666e2,a60cd64bc0f03552545799d23074d7d88d58c38a,210771904d9d228f9d6fcddf9d4622889248eb3b,2019-04-08 19:21:01,2019-04-10 16:25:36,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/a60cd64bc0f03552545799d23074d7d88d58c38a...210771904d9d228f9d6fcddf9d4622889248eb3b.diff
55,2,57d885b5e800c435f6f4852cd095c10c45745fef,4756f87cbb1f9ff299d1853f999371bde32a6371,b91cd4ef030d963000bd1c45ce1f6eea71ad1e1f,2019-04-10 20:21:51,2019-04-10 21:17:00,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/4756f87cbb1f9ff299d1853f999371bde32a6371...b91cd4ef030d963000bd1c45ce1f6eea71ad1e1f.diff
57,1,45a91657470a882947901ccd30e2813b53310c8c,a8398ec964e3e0abbf9d69ebadc6b78fe4e16862,a8398ec964e3e0abbf9d69ebadc6b78fe4e16862,2019-04-15 09:18:02,2019-04-16 17:18:15,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/a8398ec964e3e0abbf9d69ebadc6b78fe4e16862...a8398ec964e3e0abbf9d69ebadc6b78fe4e16862.diff
60,1,d67a79f8b3d56034945e6c5ad880ac9e831ee0ff,5e2a852785f75407cc5a73853ed3dabe549d01d3,5e2a852785f75407cc5a73853ed3dabe549d01d3,2019-04-26 16:05:03,2019-04-27 05:15:15,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/5e2a852785f75407cc5a73853ed3dabe549d01d3...5e2a852785f75407cc5a73853ed3dabe549d01d3.diff
61,1,d67a79f8b3d56034945e6c5ad880ac9e831ee0ff,844cbde456dca46b571e73cbed2c37dc620a52c5,844cbde456dca46b571e73cbed2c37dc620a52c5,2019-04-26 22:24:44,2019-04-27 05:14:33,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/844cbde456dca46b571e73cbed2c37dc620a52c5...844cbde456dca46b571e73cbed2c37dc620a52c5.diff
65,2,65b43abb99e675a0f1bbcd593674f69d888de71a,de674521dacf282ab96c1c05f73d50d5b995c7b0,14916020e8bdeebe3ac86da9e20ba917bc4a2b7a,2019-05-09 18:08:19,2019-05-15 18:22:35,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/de674521dacf282ab96c1c05f73d50d5b995c7b0...14916020e8bdeebe3ac86da9e20ba917bc4a2b7a.diff
67,1,65b43abb99e675a0f1bbcd593674f69d888de71a,51a437d32c2d1c141bab90cc3552dfbd2bf6dae2,51a437d32c2d1c141bab90cc3552dfbd2bf6dae2,2019-05-14 13:34:49,2019-05-15 17:31:01,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/51a437d32c2d1c141bab90cc3552dfbd2bf6dae2...51a437d32c2d1c141bab90cc3552dfbd2bf6dae2.diff
69,1,ec3506d0aea86f66d6c67fa6a2142178c5092989,23ca7d96eead14b9dd93b535c58a43b23d983003,23ca7d96eead14b9dd93b535c58a43b23d983003,2019-05-15 17:32:17,2019-05-15 18:34:13,pooyadavoodi,https://github.com/tensorflow/tensorrt/compare/23ca7d96eead14b9dd93b535c58a43b23d983003...23ca7d96eead14b9dd93b535c58a43b23d983003.diff
